"Source", "Source ID", "Category", "Name", "Threadcount" 
"House of Tartan", "826", "Commemorative", "Abbotsford", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/10K4W6K6Y4B8K6W6K6W6K6W6K6W6K6W6K6G8R6G6W4G4K/10"
"House of Tartan", "241", "Family", "Abercrombie", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/14K4B4K4B4K14G14W2G/28"
"House of Tartan", "1070", "Family", "Abercrombie", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; K/4B16R2K28G28W2G28R2K/24"
"House of Tartan", "1801", "District", "Aberdeen", "A=5C8CA8AZURE;K=101010BLACK;LG=289C18LIGHT GREEN;P=780078PURPLE;R=C80000RED;LR=D05054ROSE;W=E0E0E0WHITE; W/4LG8K32W4P12A8W4A8P12W4P6R16LR6W4LR6R16P6W4K24LG8K24W4P6R16LR6W4LR6R16P6W4A20W2R12LR6W2LR6R12W2LR8K32W4R46LR6W/4"
"House of Tartan", "2057", "Corporate", "Aberdeen F.C.", "K=101010BLACK;DR=901C38MARROON;R=C80000RED;W=E0E0E0WHITE; W/4K2DR56K6R56K2W/4"
"House of Tartan", "2694", "Corporate", "Aberdeen F.C.", "NB=003C64NAVY BLUE;O=D87C00ORANGE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; O/10NB2R4NB8R72NB44W8Y/4"
"House of Tartan", "2152", "Corporate", "Aberdeen University", "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;Y=E8C000YELLOW; Y/8B32K28R60Y/8"
"House of Tartan", "7748", "District", "Aberfeldy", "AB=506878ANC BLUE;A=5C8CA8AZURE;RR=901C38MARROON;AG=007460ANC GREEN;W=E0E0E0WHITE;K=101010BLACK W/4AB4K4A4AB64RR4AB4RR4K26AB4AG32RR4AG4W/4"
"House of Tartan", "6814", "District", "Aberuchill", "G=006818GREEN;DR=880000DARK RED;DP=440044DARK PURPLE;HG=285800HUNTING GREEN;DG=003820DARK GREEN;K=101010BLACK;MP=9C68A4MAUVE;DO=B84C00DARK ORANGE;TK=8C7038KHAKI;OG=58581COLIVE BROWN; MP/8K2OG10DP30OG30G55K4DO/6"
"House of Tartan", "3022", "Clan/Family", "Adams", "K=101010BLACK;DT=441800DARK BROWN;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;RB=1C0070ROYAL BLUE; DR/4RB44LN2G12DT34G10DT10G34K4G8DR/8"
"House of Tartan", "182", "Family", "Agnew", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/53G42R/14"
"House of Tartan", "1673", "Trade", "Ailsa Craig", "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/10W4B40Y4K32W36K4W/10"
"House of Tartan", "7605", "Fashion", "Ailsa Gold", "W=F0E0C8WHITE;P=780078PURPLE;MY=F8B400M YELLOW; MY/16W6MY56W64P6W/8"
"House of Tartan", "7591", "Fashion", "Ailsa Navy", "W=F0E0C8WHITE;RB=1C0070ROYAL BLUE;K=101010BLACK; RB/16W6RB56W64K6W/8"
"House of Tartan", "7587", "Fashion", "Ailsa Pink", "W=F0E0C8WHITE;CLR=E87878CORAL;K=101010BLACK; CLR/16W6CLR56W64K6W/8"
"House of Tartan", "7595", "Fashion", "Ailsa Royal Blue", "W=F0E0C8WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;A=5C8CA8AZURE; B/16A6B56W64NB6W/8"
"House of Tartan", "7604", "Fashion", "Ailsa Yellow", "W=F0E0C8WHITE;P=780078PURPLE;Y=FCE058M YELLOW; Y/16W6Y56W64P6W/8"
"House of Tartan", "586", "District", "Ainslie Lake..", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/6R2Y6R4G20W20B/12"
"House of Tartan", "2426", "Clan", "Akins", "A=5C8CA8AZURE;DG=003820DARK GREEN;DR=880000DARK RED;NB=003C64NAVY BLUE;R=C80000RED; A/8DG24NB22DR8R8DR8R8DR/24"
"House of Tartan", "997", "Family", "Akins Red", "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/12R8G10R26K26W10K26R26Y/12"
"House of Tartan", "3033", "Fancy", "Alabama", "K=101010BLACK;DN=5C5C5CDARK GREY;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;R=C80000RED; R/6LN16K18G32R24DN24MY/6"
"House of Tartan", "6980", "District", "Alabama American", "W=E0E0E0WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;N=888888GRAY;A=5C8CA8AZURE;RR=901C38MARROON;DCR=A00048CRIMSON;LRB=1474B4BALMORAL BLUE;R=C80000RED; W/6LRB4W4LRB4W2LRB50NB8N8A2N2A2N8NB8RR2NB2RR6NB2RR2NB8W2NB4W6R/10"
"House of Tartan", "8433", "Corporate", "Alaska Highlanders Pipes &amp; Drums", "WW=F8F8F8WILSON WHITE;B=2C2C80BLUE;LSB=98C8E8LIGHT SKY;YY=FCCC3CYELLOW-BASIC; WW/6B4LSB20B4YY8B4LSB54B/18"
"House of Tartan", "1945", "Trade", "Alberta", "K=101010BLACK;B=2C2C80BLUE;T=604000BROWN;G=006818GREEN; B16G8K8B1K1B1K1B1K1B1K1B1K1B1K1B20K4G12K24T8B1T1B1T1B1T1B1T1B1T1B1T1B28T6K4G50"
"House of Tartan", "2055", "District", "Alberta", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;LR=D05054ROSE;Y=E8C000YELLOW; G/24K2LR2K2A4K2Y/8"
"House of Tartan", "1405", "Family", "Alexander", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; R/24B4R8B8K30G8R8G4R/24"
"House of Tartan", "10130", "Personal", "Alich Dutch", "P=780078PURPLE;NB=003C64NAVY BLUE;R=C80000RED;K=101010BLACK; P/4NB12R4K/200"
"House of Tartan", "4066", "District", "All Irish Blue Irish", "B=2C2C80BLUE;DB=202060DARK BLUE;DY=E8C000GOLD;G=006818GREEN;LB=2888C4LIGHT BLUE;LG=289C18LIGHT GREEN;LSB=98C8E8LIGHT SKY;AA=506494ANC AZURE;GN=406054GREEN GREY;WG=408060WTHRD GREEN;GO=BC8C00DARK GOLD; AA12LSB4B4AA60WG4AA4GO4LG8GO4WG4GO2WG36GO2LSB4B4GO8B4LSB4GO2WG36GO2WG4GO4LG8GO4AA4WG4AA60B4LSB4"
"House of Tartan", "4065", "District", "All Irish Green Irish", "DG=003820DARK GREEN;DR=880000DARK RED;G=006818GREEN;LG=289C18LIGHT GREEN;O=C44C10ORANGE; G/12LG4DR4G60O4LG8O4DG4O2DG40O2LG4DR/8"
"House of Tartan", "4067", "District", "All Irish Red Irish", "B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;R=C80000RED;LSB=98C8E8LIGHT SKY;AA=789484ANC AZURE;OG=5C6428OLIVE GREEN; R12AA4DB4R60G4R4LG8R4G4R2G40R2AA4DB4R8DB4AA4R2G40R2G4R4LG8R4G4R60DB4AA4"
"House of Tartan", "8453", "Dress", "Allandale Blue", "K=101010BLACK;W=E0E0E0WHITE;LB=2888C4LIGHT BLUE;P=B80478PURPLE;Y=E8C000YELLOW; LB/6P4LB2P18W4Y6P10LB34W80K2W4K/6"
"House of Tartan", "8457", "Dress", "Allandale Red", "K=101010BLACK;W=E0E0E0WHITE;N=888888GRAY;G=006818GREEN;R=C80000RED; G/6R4G2R18N4Y6R10G34W80K2W4K/6"
"House of Tartan", "2482", "Personal", "Allen", "K=101010BLACK;B=2C2C80BLUE;DY=E8C000GOLD;G=006818GREEN;R=C80000RED; G4R4G24K8B22R4B22K8B4K18B4K18B4K8B22DY4B22K8G24R4G4R4G24K8B22DY4B22K8B4K18B4K18B4K8B22R4B22K8G24R4"
"House of Tartan", "3208", "Family", "Allen Northumbrian", "B=2C2C80BLUE;DT=441800DARK BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/22R2B4R6B2DT16G22W2G22DT16B16Y2R2Y/2"
"House of Tartan", "10684", "Corporate", "Allianz Deutschland 2012", "K=000000BLACK;B=20608CFSBLUE;DB=141C50OXFORD;W=E8E8E8WHITE; B/12DB6B12DB40K40DB16W/8"
"House of Tartan", "314", "Family", "Allison", "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;DG=003820DARK GREEN;HG=285800HUNTING GREEN; DB/6K6DB30K30Y6DG30K6DG30W6K30B8R12K6Y/4"
"House of Tartan", "673", "Family", "Allison", "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; DB/64Y3G12K3G12W3DB15B4R21DB3Y/2"
"House of Tartan", "10101", "Corporate", "Alloway Primary School", "LSB=98C8E8LIGHT SKY;Y=D8D458YELLOW;N=888888GRAY;W=E0E0E0WHITE;B=2C2C80BLUE; N/20W8B2LSB60B2W8N20Y/36"
"House of Tartan", "6688", "Corporate", "Alpha Chi Sigma Fraternity", "NB=003C64NAVY BLUE;Y=E8C000YELLOW;R=C80000RED;W=E0E0E0WHITE; NB/70Y2NB6Y2NB6Y2NB40R12W2R/10"
"House of Tartan", "643", "Personal", "Alvis of Lee", "A=5C8CA8AZURE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; DB/9W4G36A36R/4"
"House of Tartan", "10656", "Fashion", "Alyssa's Theme", "K=000000BLACK;R=800300MAROON;N=7D7D7DGREY;B=38558FTORY BLUE; B/4K26B16K4R2N2R42K2R2N4K16R26K/4"
"House of Tartan", "2190", "District", "Amarillo", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;Y=E8C000YELLOW; B/72K8LB8B36K16G36R16B36LB8K8Y/4"
"House of Tartan", "91", "Commemorative", "American Bicentennial", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; B/28A4W4A4B40K40R34W8R6W6R6W6R/10"
"House of Tartan", "2354", "Corporate", "American Express", "RB=000064NAVY;G=007800GREEN;DR=8C0000RED;LN=C8C8C8WHITE;FSB=3474FCLIGHT BLUE; RB8FSB36DR4RB20G20LN8G20RB20DR4FSB36"
"House of Tartan", "6882", "Fashion", "American National", "W=E0E0E0WHITE;K=101010BLACK;R=DC0000;G=003C14;B=080848;X=000028; K/6R6G8B14K6X78B30W/6"
"House of Tartan", "2316", "Corporate", "American Soc of Travel Agents", "N=888888GREY;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; W4G20B20R2B20N2B2N20B4N20B2N2B20R2B20G20"
"House of Tartan", "3016", "Corporate", "Amnesty International", "DO=B05830DARK ORANGE;K=101010BLACK;B=242468BLUE;T=604000BROWN;DY=E8A800GOLD;G=147414GREEN;W=E0E0E0WHITE; K4DB24DO16LG24Y4LG24DO16DB24W4DB24DO16LG24WR4LG24DO16DB24"
"House of Tartan", "1394", "Family", "Anderson", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/6A12R2K4R2A36K6W6K6Y2K2Y2K8R2B8R6G12R4G12R/8"
"House of Tartan", "1514", "Clan", "Anderson Dress", "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/4G8R4G8R2K4Y4K4Y2W4Y2K4Y2W24R4W10R/6"
"House of Tartan", "7024", "Clan/Family", "Anderson of Ardbrake", "LB=2888C4LIGHT BLUE;G=006818GREEN;K=101010BLACK;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;B=2C2C80BLUE; LB/4G8K6LB2R44B4K6W8K6Y4K4Y4K8R4LB6B10G18R4K/26"
"House of Tartan", "1347", "Old", "Anderson", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/16A32K2R8K2A104W16K2Y4K8Y4K28R4A28G32K2R8K2G32R/16"
"House of Tartan", "1350", "Clan", "Anderson Variant", "K=101010BLACK;DB=202060DARK BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/6LB12K2R4K2LB28K6W6K6Y4K4Y4K4R4DB10R4G12K2R4K2G12R/6"
